Line Item	Price	Unit	HSN	Applicable Site(s)	Site Count	Source PO/Invoice Count	Example Source File	App Display Name
DETTOL HAND SANITIZER 200 ML	140	BOTT	3402	ETPL THANE	1	1	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	DETTOL HAND SANITIZER 200 ML
DISH WASH 5 LTR [CAN] | HSN 34022090	247.35	CAN		SS Plaza	1	1	Stepier - Banglore.pdf	DISH WASH 5 LTR [CAN] | HSN 34022090
DISH WASH GEL 5LTR	550	CAN	3402	3I SAKINAKA	1	1	Hk Mumbai/PARSVATECH JULY26 3I SAKINAKA.pdf	DISH WASH GEL 5LTR
DOOR MATE 3X2 HARD GREEN	540	PCS	3924	NOIDA	1	1	Hk Mumbai/PARSVATECH JULY26 NOIDA (1).pdf	DOOR MATE 3X2 HARD GREEN
DOOR MATE BLACK	90	BOTT	3924	C WING	1	1	Hk Mumbai/PARSVATECH C WING JULY26 2.pdf	DOOR MATE BLACK
DOOR MATE BLACK DUROSOFT	90	SQ FT	3924	C WING	1	1	Hk Mumbai/PARSVATECH C WING JULY26 2.pdf	DOOR MATE BLACK DUROSOFT
DRAIN POWDER [NOS] | HSN 3405	13.58	PKT		SS Plaza	1	1	Stepier - Banglore.pdf	DRAIN POWDER [NOS] | HSN 3405
DRANEX POWER	20	PKT	3401	ETPL THANE, NOIDA, SIGMA 2ND FLOOR, SIGMA 7TH FLOOR	4	4	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	DRANEX POWER — ₹20
DRAWING PINS	60	PKT	7317	NOIDA	1	1	Hk Mumbai/PARSVATECH JULY26 NOIDA (1).pdf	DRAWING PINS
DURA CELL AA	33.95	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	DURA CELL AA
DURA CELL AA [NOS] | HSN 8506	33.95	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	DURA CELL AA [NOS] | HSN 8506
DURA CELL AAA	33.95	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	DURA CELL AAA
DURA CELL AAA [NOS] | HSN 8506	33.95	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	DURA CELL AAA [NOS] | HSN 8506
DURACELL MIDDIUM (AA) (FS)	20.5	PCS		Mahindra Finance - Delhi	1	1	FCGC- Delhi.pdf	DURACELL MIDDIUM (AA) (FS)
Dabur Fem Handwash 5 Ltr	520	CAN		AMR Tech Park	1	2	Stepier - Banglore.pdf	Dabur Fem Handwash 5 Ltr
Diffuser Oil	824.5	BOTT		SS Plaza	1	1	Stepier - Banglore.pdf	Diffuser Oil
Diffuser Oil [NOS] | HSN 33029011	824.5	BOTT		SS Plaza	1	1	Stepier - Banglore.pdf	Diffuser Oil [NOS] | HSN 33029011
Dish Wash 5 Ltr	247.35	CAN		SS Plaza	1	2	Stepier - Banglore.pdf	Dish Wash 5 Ltr
Door Mat Soft	73	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Door Mat Soft
Drain Powder	13.58	PKT		SS Plaza	1	2	Stepier - Banglore.pdf	Drain Powder
Dry Fit T-Shirt	720	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Dry Fit T-Shirt
Dry Fit T-Shirt	750	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Dry Fit T-Shirt
Dura Cell C Type	157.14	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Dura Cell C Type
Dura Cell C Type [NOS] | HSN 85061000	157.14	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Dura Cell C Type [NOS] | HSN 85061000
Duracell AA	33.95	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Duracell AA
Duracell AAA	33.95	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Duracell AAA
Duracell C Type	157.14	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Duracell C Type
EPSON 003 BLACK INK	850	BOTT	96121010	ETPL THANE	1	1	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	EPSON 003 BLACK INK
EPSON 003 YELLOW INK	850	BOTT	96121010	ETPL THANE	1	1	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	EPSON 003 YELLOW INK
ERASER [NOS] | HSN 401692 | CHANGE TO GST 0pct EXEMPT	1.94	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	ERASER [NOS] | HSN 401692 | CHANGE TO GST 0pct EXEMPT
Epson Ink Bottel	441.35	BOTT		SS Plaza	1	1	Stepier - Banglore.pdf	Epson Ink Bottel
Epson Ink Bottel	550	BOTT		SS Plaza	1	1	Stepier - Banglore.pdf	Epson Ink Bottel
Epson Ink Bottel BLACK [NOS] | HSN 32151190	550	BOTT		SS Plaza	1	1	Stepier - Banglore.pdf	Epson Ink Bottel BLACK [NOS] | HSN 32151190
Epson Ink Bottel COLOUR [NOS] | HSN 32151190	441.35	BOTT		SS Plaza	1	1	Stepier - Banglore.pdf	Epson Ink Bottel COLOUR [NOS] | HSN 32151190
Epson Ink Bottle	441.35	BOTT		SS Plaza	1	1	Stepier - Banglore.pdf	Epson Ink Bottle
Eraser	1.94	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Eraser
FACE MASK	2	PCS	7323	NOIDA, SIGMA 2ND FLOOR, SIGMA 7TH FLOOR	3	3	Hk Mumbai/PARSVATECH JULY26 SIGMA 2ND FLOOR (1).pdf	FACE MASK — ₹2
